dataset,document,id,type,sentence,label,sublabel
2,1,264,Phase,"T: Und wahrscheinlich auch eben mit dem Michel zusammen, dass das jetzt eben gerade ein bisschen hapert daran.",Informational,Informational
2,1,269,Phase,T: Ja.,Informational,Informational
2,1,274,Phase,"T: Ja, also ich kann aus jedem Fall aus meiner Sicht sagen, dass ich den Michael auch als sehr interessierten Jungen wahrnehme, vor allem eben in den HSU-Themen.",Informational,Informational
2,1,279,Phase,"T: Bäume, Pflanzen, da ist er auf jeden Fall sehr interessiert immer.",Informational,Informational
2,1,284,Phase,"T: Trotzdem muss ich auch sagen, natürlich, ich sehe das auch, dass ihm gerade so die schriftlichen Arbeiten schon auch schwerfallen.",Informational,Informational
2,1,289,Phase,T: Sein Schriftbild ist ja immer noch ziemlich unordentlich und...,Informational,Informational
2,1,294,Phase,"T: Genau, da finde ich, ist der Michael einfach, seine Stärken sind auf jeden Fall eher in diesem freien Erzählen, in diesem lebhaften Erzählen, da geht er auch immer richtig auf im Morgenkreis und so.",Informational,Informational
2,1,299,Phase,T: Allerdings ist es dann eben bei den schriftlichen Arbeiten ein bisschen schwieriger.,Informational,Informational
2,1,304,Phase,"T: Ich weiß nicht, wie ist das aus Ihrer Sicht, wie nehmen Sie das zu Hause wahr?",Informational,Informational
2,1,309,Phase,T: Sehen Sie das auch so?,Informational,Informational
2,1,309,Technique,T: Sehen Sie das auch so?,Verbalizing,Weiterführende Frage
2,1,314,Phase,P: Total.,Informational,Informational
2,1,319,Phase,P: Und ich finde jetzt gerade Deutsch auch irgendwie schwierig.,Informational,Informational
2,1,324,Phase,"P: Wenn er da eine Fantasiegeschichte schreiben soll, ist das nochmal was anderes.",Informational,Informational
2,1,329,Phase,"P: Aber so diese Sachen, diese Sachtexte oder Brief und sowas, die da alles so machen, das ist ihm einfach wurscht.",Informational,Informational
2,1,334,Phase,"P: Da ist er nicht besonders motiviert, sich dann da an irgendwelche Regeln zu halten und da irgendwelche Anredefloskeln auszuwählen.",Informational,Informational
2,1,339,Phase,P: Das ist ihm alles so ein bisschen...,Informational,Informational
2,1,344,Phase,P: Ja.,Informational,Informational
2,1,349,Phase,"P: Ja, Regeln.",Informational,Informational
2,1,354,Phase,P: Ja.,Informational,Informational
2,1,359,Phase,"T: Okay, also ich glaube, wir können an dem Punkt schon mal festhalten, dass wir beide das auch so sehen, dass der Michael seine Stärken auf jeden Fall eher in der praktischen Richtung hat und jetzt nicht so in diesem typischen, ich nenne es einfach mal so, auswendig lernen oder so nach Regeln bearbeiten.",Informational,Informational
2,1,359,Technique,"T: Okay, also ich glaube, wir können an dem Punkt schon mal festhalten, dass wir beide das auch so sehen, dass der Michael seine Stärken auf jeden Fall eher in der praktischen Richtung hat und jetzt nicht so in diesem typischen, ich nenne es einfach mal so, auswendig lernen oder so nach Regeln bearbeiten.",Paraphrasing,Paraphrasing
2,1,364,Phase,"T: Ja, nun ist es ja so, Frau Svensson, dass das natürlich auf dem Gymnasium schon eher von den Kindern erwartet wird, eben diese theoretische Ausbildung.",Argumentative,Argumentative
2,1,369,Phase,T: Dafür steht das Gymnasium ja auch.,Argumentative,Argumentative
2,1,374,Phase,"T: Jetzt wäre es natürlich, mich würde es freuen, wenn ich mit Ihnen zusammen nochmal überlegen könnte, was ist denn die passende Schulform für den Michael?",Argumentative,Argumentative
2,1,379,Phase,"T: Natürlich verstehe ich das, dass Sie den Michi eine gute Ausbildung ermöglichen möchten.",Argumentative,Argumentative
2,1,384,Phase,T: Ich kann Ihnen an der Stelle aber auf jeden Fall nochmal eventuell ein bisschen den Druck rausnehmen.,Argumentative,Argumentative
2,1,389,Phase,"T: Nur wenn der Michi jetzt nicht aus Gymnasium geht, bedeutet das nicht, dass er später nicht sein Abitur machen kann.",Argumentative,Argumentative
2,1,394,Phase,"T: Also es gibt auf jeden Fall ganz, ganz viele Möglichkeiten und Wege.",Argumentative,Argumentative
2,1,399,Phase,"T: Sie haben ja, glaube ich, auch schon den Elternabend zum Übertritt besucht.",Argumentative,Argumentative
2,1,404,Phase,"T: Auch wenn Michael jetzt die Realschule besuchen würde, gibt es natürlich immer noch die Möglichkeit, dass er gleich nach der fünften Klasse wieder aufs Gymnasium wechselt, wenn wir jetzt sehen, das ist das Richtige für ihn.",Argumentative,Argumentative
2,1,409,Phase,T: Oder dann später auf der Voss oder so auch seine Hochschulreife erlangt.,Argumentative,Argumentative
2,1,414,Phase,T: Also da können Sie auf jeden Fall in der Hinsicht schon mal durchatmen.,Argumentative,Argumentative
2,1,419,Phase,P: Okay.,Argumentative,Argumentative
2,1,424,Phase,"P: Ja, das hieß ja, das System ist ein bisschen durchlässig.",Argumentative,Argumentative
2,1,429,Phase,"P: Ja, wir würden ihn halt gerne gleich aufs Gymnasium schicken und dann sagen,",Argumentative,Argumentative
2,1,434,Phase,P: da bleibt er und das zieht er durch.,Argumentative,Argumentative
2,1,439,Phase,"P: Meinen Sie, es ist vielleicht noch nicht der Moment tatsächlich, dass man ihn erst später dahin schickt?",Argumentative,Argumentative
2,1,444,Phase,"T: Ich meine, ich verstehe auf jeden Fall auch Ihren Standpunkt.",Argumentative,Argumentative
2,1,444,Technique,"T: Ich meine, ich verstehe auf jeden Fall auch Ihren Standpunkt.",Verbalizing,Undefined attention reaction
2,1,449,Phase,"T: Ich würde mir natürlich wünschen, dass der Michel halt einfach die Schulform für sich findet, die halt am besten zu seinen Interessen und zu seinen Stärken passt.",Argumentative,Argumentative
2,1,454,Phase,"T: Natürlich, wie wäre das denn für Sie, wenn Sie sich jetzt nochmal mit dem Michel zusammensetzen würden und vielleicht einfach mal...",Argumentative,Argumentative
2,1,459,Phase,"T: ich weiß nicht, vielleicht sogar auf einer Mindmap einfach mal visualisieren, was ist denn für den Michel im Moment wichtig?",Argumentative,Argumentative
2,1,464,Phase,T: Was sind gerade meine Stärken?,Argumentative,Argumentative
2,1,469,Phase,T: Wo sehe ich mich?,Argumentative,Argumentative
2,1,474,Phase,P: Das ist eine gute Idee.,Argumentative,Argumentative
2,1,479,Phase,"T (simul.): Also, dass der Michel einfach sich vielleicht dann nochmal ein bisschen klarer wird und das vielleicht auch nochmal sich so in den Kopf ruft und dass sie sich dann nochmal mit dem Michel zusammensetzen und dann nochmal vielleicht gucken, welche Schulart verkörpert diese Interessen am besten?",Argumentative,Argumentative
2,1,484,Phase,T (simul.): Wie sehen sie das denn?,Argumentative,Argumentative
2,1,489,Phase,T (simul.): Mhm.,Argumentative,Argumentative
2,1,494,Phase,P: Das ist echt eine gute Idee.,Argumentative,Argumentative
2,1,499,Phase,"P: Tatsächlich eine Mindmap, das könnte ich mir vorstellen.",Argumentative,Argumentative
2,1,504,Phase,P: Dass wir das,Argumentative,Argumentative
2,1,509,Phase,P: das so mal besprechen können.,Argumentative,Argumentative
2,1,514,Phase,"P: Weil sonst ist das tatsächlich gerade nicht so griffig für ihn irgendwie, worum es eigentlich geht.",Argumentative,Argumentative
2,1,519,Phase,"T (simul.): Ja, verstehe ich, ja.",Argumentative,Argumentative
2,1,519,Technique,"T (simul.): Ja, verstehe ich, ja.",Verbalizing,Undefined attention reaction
2,1,524,Phase,"P: Aber ja, wenn wir einfach, das ist wirklich eine gute Idee.",Argumentative,Argumentative
2,1,529,Phase,"P: Das mache ich, ja.",Argumentative,Argumentative
2,1,534,Phase,"T: Und ich dürfte Ihnen auch noch einen Tipp geben, also viele Schulen bieten auch zum Beispiel so einen Probetag an, da können Sie einfach mal mit mir vorbeischauen, sich den Unterricht mal anschauen.",Argumentative,Argumentative
2,1,539,Phase,P (simul.): Mhm.,Argumentative,Argumentative
2,1,544,Phase,"T: Ich finde, da wird das Ganze auch immer noch mal ein bisschen griffiger, ein bisschen lebhafter, was denn die Anforderungen von den Schulen genau sind.",Argumentative,Argumentative
2,1,549,Phase,"T: Genau, wenn Sie sich das vorstellen können, könnte ich Ihnen auch noch mal die Termine von den Schulen hier im Umkreis schicken, dann können Sie sich das auch noch mal mit Ihrem Mann zusammen umso überlegen, ja.",Decision-Making,Decision-Making
2,1,554,Phase,"P: Ja, gerne.",Decision-Making,Decision-Making
2,1,559,Phase,P: Das ist eine gute Idee.,Decision-Making,Decision-Making
2,1,564,Phase,P: Vielen Dank.,Decision-Making,Decision-Making
2,1,569,Phase,"P: Das finde ich ganz gut, dass man den Michel selber noch mal ein bisschen mit ins Boot holt.",Decision-Making,Decision-Making
2,1,574,Phase,"P: Auch ein bisschen, was interessiert ihn.",Decision-Making,Decision-Making
2,1,579,Phase,"P: Vielleicht müssen wir uns ein bisschen von dem Gedanken verabschieden, dass er direkt aufs Gymnasium geht, so wie wir das gemacht haben, mein Mann und ich.",Decision-Making,Decision-Making
2,1,584,Phase,P: Vielleicht hat er da einfach einen anderen Weg.,Decision-Making,Decision-Making
2,1,589,Phase,P: Ja.,Decision-Making,Decision-Making
2,1,594,Phase,"T: Genau, jedes Kind ist ja individuell, jedes Kind findet auch seinen Weg und ich bin mir auch sicher, dass wir da die gute Lösung für den Michel finden.",Decision-Making,Decision-Making
2,1,599,Phase,"T: Es steht ja jetzt dann im Mai noch das Übertrittszeugnis an und wenn Sie natürlich wollen, können wir natürlich da auf jeden Fall uns nochmal zusammensetzen, wenn dann letztendlich die Noten auch feststehen.",Concluding,Sonstiges
2,1,604,Phase,P (simul.): ja ja ja ja,Concluding,Appointment
2,1,609,Phase,T: Ansonsten würde ich jetzt für dieses Gespräch erstmal festhalten.,Concluding,Wertschätzende Reflexion
2,1,609,Technique,T: Ansonsten würde ich jetzt für dieses Gespräch erstmal festhalten.,Structuring,Structuring
2,1,614,Phase,"T: Sie setzen sich mit Michel nochmal zusammen, besprechen nochmal die wichtigsten Punkte, welche Schulart",Concluding,Wertschätzende Reflexion
2,1,614,Technique,"T: Sie setzen sich mit Michel nochmal zusammen, besprechen nochmal die wichtigsten Punkte, welche Schulart",Structuring,Structuring
2,1,619,Phase,"T: steht für welche Dinge, was ist ihm wichtig und dann können Sie auch gerne nochmal auf mich zukommen.",Concluding,Wertschätzende Reflexion
2,1,619,Technique,"T: steht für welche Dinge, was ist ihm wichtig und dann können Sie auch gerne nochmal auf mich zukommen.",Structuring,Structuring
2,1,624,Phase,"P (simul.): Super, das ist eine gute Idee.",Concluding,Wertschätzende Reflexion
2,1,629,Phase,"P (simul.): Und mein Mann und ich, wir setzen uns auch nochmal zusammen und überlegen uns, ob wir uns ein bisschen von den Gedanken lösen können, dass das jetzt so auf dem direkten, geraden Weg alles läuft.",Concluding,Wertschätzende Reflexion
2,1,634,Phase,"T: Okay, super Frau Frenzer, dann bedanke ich mich für das Gespräch und wünsche Ihnen noch einen wunderschönen Tag.",Concluding,Farewell
2,1,639,Phase,P (simul.): Ja.,Concluding,Farewell
2,1,644,Phase,P: Danke Ihnen.,Concluding,Farewell
2,1,649,Phase,"P: Ja, danke Ihnen auch.",Concluding,Farewell
2,1,654,Phase,T: Tschüss.,Concluding,Farewell
2,1,659,Phase,P: Tschüss.,Concluding,Farewell
3,2,59,Phase,"T (simul.): So, hallo, Herr Grün.",Beginning,Greeting
3,2,64,Phase,"T: Schön, Sie zu sehen.",Beginning,Greeting
3,2,69,Phase,P (simul.): Hallo Frau Kall.,Beginning,Greeting
3,2,74,Phase,P (simul.): Ja.,Beginning,Greeting
3,2,79,Phase,"T: Danke, dass Sie es einrichten konnten.",Beginning,Greeting
3,2,84,Phase,"T: Ich hoffe, Sie haben es sich bequem gemacht und ein ruhiges Plätzchen gefunden.",Beginning,Small talk
3,2,89,Phase,"P: Ja, ja, passt.",Beginning,Small talk
3,2,94,Phase,P: Passt auch.,Beginning,Small talk
3,2,99,Phase,P: Okay.,Beginning,Small talk
3,2,104,Phase,P: Okay.,Beginning,Small talk
3,2,109,Phase,T: Okay.,Beginning,Small talk
3,2,109,Technique,T: Okay.,Verbalizing,Undefined attention reaction
3,2,114,Phase,"T: Ähm,",Beginning,Small talk
3,2,119,Phase,"T: Ja, also kurz allgemein.",Beginning,Content frame
3,2,124,Phase,"T: Sie haben wirklich eine tolle Zweitlisterin zu Hause, Herr Grün.",Beginning,Content frame
3,2,129,Phase,"T: Sie ist sehr engagiert, meldet sich viel, arbeitet aktiv im Unterricht mit.",Beginning,Content frame
3,2,134,Phase,T: Also es ist wirklich eine Bereicherung für die Klasse und den Unterricht.,Beginning,Content frame
3,2,139,Phase,"T: Umso mehr überrascht es mich, dass immer häufiger ihr Hausaufgaben fehlen.",Beginning,Content frame
3,2,144,Phase,"T: Ja, also ich habe da auch schon öfter mit der Luisa drüber gesprochen.",Informational,Informational
3,2,149,Phase,T: Vielleicht haben sie auch mal mit dir geredet oder sie hat Ihnen was erzählt.,Informational,Informational
3,2,154,Phase,"P: Also habe ich jetzt eigentlich gar nichts mitbekommen, weil die Luisa macht eigentlich immer alles selbstständig und also ich habe da eigentlich gar nichts mitbekommen.",Informational,Informational
3,2,159,Phase,"P: Also vielleicht hat sie einfach mal vergessen, die Hausaufgaben abzugeben oder so.",Informational,Informational
3,2,164,Phase,"T (simul.): Okay, also Sie sagen, die Luisa macht die Hausaufgaben selbstständig?",Informational,Informational
3,2,164,Technique,"T (simul.): Okay, also Sie sagen, die Luisa macht die Hausaufgaben selbstständig?",Paraphrasing,Paraphrasing
3,2,169,Phase,"P: Also ich finde auch, dass...",Informational,Informational
3,2,174,Phase,"P: die Luisa, die macht sowieso eigentlich so ihr Ding, die geht dann auch mal mit den Hunden und den Katzen irgendwie raus, sie ist beim Reiten am Nachmittag und ich verlasse mich eigentlich drauf.",Informational,Informational
3,2,179,Phase,"P: Also meine Frau und ich, wir sind da eigentlich so der Meinung, dass die Luisa das alles macht und ja, also vielleicht hat sie es einfach mal vergessen abzugeben, kann das sein?",Informational,Informational
3,2,184,Phase,P: Ja.,Informational,Informational
3,2,189,Phase,"T: Es ist jetzt leider kein Einzelfall, also es fehlen schon häufiger die Hausaufgaben und man merkt das inzwischen auch an den Leistungen.",Informational,Informational
3,2,194,Phase,"P: Ah, okay.",Informational,Informational
3,2,199,Phase,"P: Ja, also, okay, dann, also, ja, habe ich jetzt gar nicht so wahrgenommen.",Informational,Informational
3,2,204,Phase,"T: Ja, also sie wirken auch etwas überrascht und verständlicherweise, wenn sie davon ausgehen, dass die Luisa das eigentlich selbstständig macht.",Informational,Informational
3,2,204,Technique,"T: Ja, also sie wirken auch etwas überrascht und verständlicherweise, wenn sie davon ausgehen, dass die Luisa das eigentlich selbstständig macht.",Verbalizing,Statement
3,2,209,Phase,P: Mhm.,Informational,Informational
3,2,214,Phase,"T: Da bin ich ja froh, dass wir jetzt ins Gespräch kommen und ich Ihnen die Infos mitteilen kann.",Informational,Informational
3,2,219,Phase,P (simul.): Mhm.,Informational,Informational
3,2,224,Phase,"T: Vielleicht können Sie noch mal kurz schildern, die Luisa kommt von der Schule nach Hause und dann, wie sieht Ihr Nachmittag aus?",Informational,Informational
3,2,224,Technique,"T: Vielleicht können Sie noch mal kurz schildern, die Luisa kommt von der Schule nach Hause und dann, wie sieht Ihr Nachmittag aus?",Verbalizing,Clarifying question
3,2,229,Phase,"P: Ja, dann ist sie meistens was mit uns oder mit meiner, wer halt zu Hause ist, manchmal bin ich im Homeoffice oder so.",Informational,Informational
3,2,234,Phase,"P: Ja, und dann geht sie eigentlich in ihr Zimmer und dann macht sie die Hausaufgaben und dann geht sie meistens raus irgendwie zum, also die geht ja wie gesagt auch reiten und ja.",Informational,Informational
3,2,239,Phase,"P: Es ist dann draußen und ich habe eigentlich ehrlich gesagt, ich finde das auch eine Zweitklässlerin, die kann doch eigenständig ihre Sachen machen.",Informational,Informational
3,2,244,Phase,"P: Also ich finde, da soll die auch selber die Verantwortung übernehmen.",Informational,Informational
3,2,249,Phase,"P: Und ich gehe immer davon aus, dass sie ihre Hausaufgaben gemacht hat.",Informational,Informational
3,2,254,Phase,"P: Ich kontrolliere das jetzt auch nicht extra nochmal, weil ich denke, das kann ein Kind in der zweiten Klasse oder sollte es einfach auch selbstständig machen können.",Informational,Informational
3,2,259,Phase,"T: Okay, also Sie überprüfen das nicht und sind der Meinung, eine Zweitklässlerin sollte das können.",Informational,Informational
3,2,259,Technique,"T: Okay, also Sie überprüfen das nicht und sind der Meinung, eine Zweitklässlerin sollte das können.",Paraphrasing,Paraphrasing
3,2,264,Phase,"P: Ja, finde ich schon.",Informational,Informational
3,2,269,Phase,"P: Also das ist doch, also ja, finde ich schon.",Informational,Informational
3,2,274,Phase,"P: Also ich meine, es ist ja auch nicht so, dass ihr nachher im Leben alles nachgetragen wird, sondern ich finde, die muss einfach da selber die Verantwortung übernehmen.",Informational,Informational
3,2,279,Phase,"P: So, oder?",Informational,Informational
3,2,284,Phase,"T: Also Herr Grün, ich finde es toll, dass Sie Ihrer Tochter das zutrauen, in der zweiten Klasse schon zu schaffen.",Informational,Informational
3,2,284,Technique,"T: Also Herr Grün, ich finde es toll, dass Sie Ihrer Tochter das zutrauen, in der zweiten Klasse schon zu schaffen.",Verbalizing,Undefined attention reaction
3,2,289,Phase,"T: Im Vergleich zur ersten Klasse, haben Sie da noch mit drauf geschaut?",Informational,Informational
3,2,289,Technique,"T: Im Vergleich zur ersten Klasse, haben Sie da noch mit drauf geschaut?",Verbalizing,Clarifying question
3,2,294,Phase,"P: Ja, da haben wir natürlich, klar, bis die sich mal so ein bisschen eingespielt hat, aber jetzt so in der zweiten Klasse, mein Gott, also das läuft ja.",Informational,Informational
3,2,299,Phase,"P: Ah ja, Entschuldigung.",Informational,Informational
3,2,304,Phase,"T: Wohl möglicherweise liegt es auch gar nicht daran, dass sie nicht zuverlässig ist, sondern dass vielleicht einfach es an Motivation fehlt für die Hausaufgaben oder sie vielleicht doch noch so ab und zu einen Impuls von den Eltern bräuchte, Herr Grün, weil man merkt es an ihrer Leistung.",Informational,Informational
3,2,309,Phase,"T: Also es ist wichtig, dass sie die Hausaufgaben macht, zuverlässig und da braucht sie vielleicht einfach doch noch Unterstützung in der zweiten Klasse.",Argumentative,Argumentative
3,2,314,Phase,"P: also ich sehe es ein bisschen anders, aber also ja, also vielleicht sollte ich dann halt mal, ja, dann reden wir halt mal mit der Luisa irgendwie oder auch nochmal, aber ich, also so perspektivisch sollte doch eigentlich, sollte sie das schon selber machen irgendwie, aber ich, also ja, also Leistungen habe ich jetzt auch noch gar nicht so mitbekommen, also wie meinen Sie, also hat sie gerade schlecht, also die kriegen doch jetzt erst zum Ende,",Argumentative,Argumentative
3,2,319,Phase,P: Vom zweiten Halbjahr.,Argumentative,Argumentative
3,2,324,Phase,P: Jetzt ist doch... Haben die schon die Zeugnisse bekommen?,Argumentative,Argumentative
3,2,329,Phase,"T: Die Sätze stehen noch aus, die kommen jetzt in den nächsten.",Argumentative,Argumentative
3,2,334,Phase,"P (simul.): Ja, eben.",Argumentative,Argumentative
3,2,339,Phase,P (simul.): Aber die kriegen jetzt das erste... Kriegen die jetzt in der zweiten Klasse schon Noten im zweiten Halbjahr?,Argumentative,Argumentative
3,2,344,Phase,"P: Nee, im ersten Mal.",Argumentative,Argumentative
3,2,349,Phase,"T: Bei Gründung im zweiten Halbjahr kriegen Sie dann Noten, richtig?",Argumentative,Argumentative
3,2,349,Technique,"T: Bei Gründung im zweiten Halbjahr kriegen Sie dann Noten, richtig?",Paraphrasing,Paraphrasing
3,2,354,Phase,P: Aber jetzt noch nicht.,Argumentative,Argumentative
3,2,359,Phase,"T: Jetzt noch nicht, aber es ist natürlich, Herr Grün, darf ich Ihnen kurz meine Sicht erklären.",Argumentative,Argumentative
3,2,359,Technique,"T: Jetzt noch nicht, aber es ist natürlich, Herr Grün, darf ich Ihnen kurz meine Sicht erklären.",Structuring,Structuring
3,2,364,Phase,P (simul.): Okay.,Argumentative,Argumentative
3,2,369,Phase,"P (simul.): Ja, ja.",Argumentative,Argumentative
3,2,374,Phase,"T: Die Hausaufgaben sind dafür da, dass der Stoff, den man im Unterricht erarbeitet, nochmal zu Hause geübt und gefestigt wird.",Argumentative,Argumentative
3,2,379,Phase,"T: Das ist wichtig, um darauf aufbauen zu können und dass die Kinder dann die Möglichkeit haben, damit weiterzuarbeiten.",Argumentative,Argumentative
3,2,384,Phase,"P: Ja, aber das ist ja eigentlich meine Aufgabe, das ist ja eigentlich Aufgabe der Schule, oder?",Argumentative,Argumentative
3,2,389,Phase,"T: Was genau, Herr Grün?",Argumentative,Argumentative
3,2,389,Technique,"T: Was genau, Herr Grün?",Verbalizing,Clarifying question
3,2,394,Phase,"P: Naja, also eigentlich ist doch die Schule dazu da, den Kindern die Sachen beizubringen und sie so auszustatten, dass sie das lernen können.",Argumentative,Argumentative
